,msisdn_id_x,bundle_name,sum_subscriptions,id_bundle,price_point,msisdn_id_y
0,36,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
1,337,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
2,682,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
3,689,BTL 4G Bundle 8 Weekly,6,17,50.909090909,2240
4,791,BTL 4G Bundle 8 Weekly,4,17,50.909090909,2240
5,971,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
6,1522,BTL 4G Bundle 8 Weekly,2,17,50.909090909,2240
7,1742,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
8,1805,BTL 4G Bundle 8 Weekly,5,17,50.909090909,2240
9,1866,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
10,1908,BTL 4G Bundle 8 Weekly,7,17,50.909090909,2240
11,2118,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
12,2328,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
13,2596,BTL 4G Bundle 8 Weekly,3,17,50.909090909,2240
14,3211,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
15,3956,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
16,4066,BTL 4G Bundle 8 Weekly,5,17,50.909090909,2240
17,4362,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
18,5699,BTL 4G Bundle 8 Weekly,6,17,50.909090909,2240
19,6144,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
20,6354,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
21,7733,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
22,7775,BTL 4G Bundle 8 Weekly,6,17,50.909090909,2240
23,7813,BTL 4G Bundle 8 Weekly,7,17,50.909090909,2240
24,8077,BTL 4G Bundle 8 Weekly,3,17,50.909090909,2240
25,8248,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
26,9666,BTL 4G Bundle 8 Weekly,2,17,50.909090909,2240
27,9836,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
28,10318,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
29,10812,BTL 4G Bundle 8 Weekly,7,17,50.909090909,2240
30,11110,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
31,12264,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
32,13040,BTL 4G Bundle 8 Weekly,6,17,50.909090909,2240
33,13389,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
34,15494,BTL 4G Bundle 8 Weekly,2,17,50.909090909,2240
35,17041,BTL 4G Bundle 8 Weekly,9,17,50.909090909,2240
36,17241,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
37,17540,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
38,17864,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
39,19261,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
40,19451,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
41,19469,BTL 4G Bundle 8 Weekly,3,17,50.909090909,2240
42,19648,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
43,19759,BTL 4G Bundle 8 Weekly,6,17,50.909090909,2240
44,20115,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
45,20273,BTL 4G Bundle 8 Weekly,6,17,50.909090909,2240
46,20432,BTL 4G Bundle 8 Weekly,4,17,50.909090909,2240
47,20764,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
48,20784,BTL 4G Bundle 8 Weekly,3,17,50.909090909,2240
49,20844,BTL 4G Bundle 8 Weekly,5,17,50.909090909,2240
50,20930,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
51,20954,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
52,20997,BTL 4G Bundle 8 Weekly,2,17,50.909090909,2240
53,21371,BTL 4G Bundle 8 Weekly,7,17,50.909090909,2240
54,21919,BTL 4G Bundle 8 Weekly,3,17,50.909090909,2240
55,22273,BTL 4G Bundle 8 Weekly,7,17,50.909090909,2240
56,22285,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
57,22317,BTL 4G Bundle 8 Weekly,6,17,50.909090909,2240
58,22823,BTL 4G Bundle 8 Weekly,2,17,50.909090909,2240
59,23040,BTL 4G Bundle 8 Weekly,1,17,50.909090909,2240
